RespondentID,State,Region,AgeGroup,Gender,IncomeBracket,RaceEthnicity,PlanPurchase12Mo,RecentPurchasePrice,ChannelPreference,TradSlipOnBrand,HandsFreeAwareness,BrandAwarenessProxy_DistWt,DistNearestRetailerMiles,DistNearestFlagshipMiles,IsControlGroup,SawFeatureExplanation,Initial_Intent_79,Initial_Intent_99,Initial_Intent_119,Initial_Intent_139,Initial_Intent_159,Initial_Intent_179,Initial_Intent_199,Initial_Prob_79,Initial_Prob_99,Initial_Prob_119,Initial_Prob_139,Initial_Prob_159,Initial_Prob_179,Initial_Prob_199,Post_Intent_79,Post_Intent_99,Post_Intent_119,Post_Intent_139,Post_Intent_159,Post_Intent_179,Post_Intent_199,Post_Prob_79,Post_Prob_99,Post_Prob_119,Post_Prob_139,Post_Prob_159,Post_Prob_179,Post_Prob_199,ValuePerceptionPost,VW_TooCheap,VW_Bargain,VW_Expensive,VW_TooExpensive,Importance_Brand,Importance_Comfort,Importance_Durability,Importance_Fit,Importance_HandsFreeConvenience,Importance_Material,Importance_Price,Importance_Style,Top3Driver1,Top3Driver2,Top3Driver3,PrimaryUsage,MultiPurchaseLikelihood,Segment
69,UT,West,45-54,Male,$75k-$99k,White,Yes,$150-$199,Online Primarily,Nike,Have used this specific type of technology,0.2818,90.1,47.6,1,0,4,4,3,3,2,1,1,72,68,36,38,22,1,0,4,3,3,2,1,1,1,80,51,48,24,0,4,7,,60,85,105,135,3,5,4,3,4,4,3,3,Comfort,Material,Durability,Everyday casual wear,3,Premium Enthusiasts
70,MO,Midwest,45-54,Male,$50k-$74k,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,Nike,Never heard of it,0.023,88.5,-1.0,1,0,3,3,3,2,1,1,1,60,60,44,10,14,0,0,4,3,2,2,1,1,1,82,41,15,24,0,4,0,,85,95,135,145,3,4,4,4,5,2,3,4,HandsFreeConvenience,Comfort,Style,Everyday casual wear,3,Premium Enthusiasts
71,MT,West,18-24,Male,$100k-$149k,Hispanic or Latino,Yes,$200 or more,Online Primarily,Adidas,Vaguely aware of it,0.0339,52.5,-1.0,1,0,5,4,4,3,2,2,1,97,87,70,55,23,10,0,4,4,4,3,3,1,1,100,76,69,42,54,0,0,,100,110,205,215,3,5,4,3,3,3,3,4,Comfort,Durability,Style,Everyday casual wear,3,Interested Pragmatists
72,SD,Midwest,18-24,Female,$150k+,White,Yes,$200 or more,Equal Mix,None,Never heard of it,0.043,48.9,109.6,1,0,5,4,4,3,2,2,2,100,77,68,47,11,14,13,5,4,4,2,2,2,1,95,70,69,30,22,18,5,,90,140,160,205,2,5,5,2,4,3,4,3,Durability,Comfort,HandsFreeConvenience,Everyday casual wear,2,Value Seekers
73,OR,West,55-64,Male,$150k+,White,Yes,$150-$199,Equal Mix,Skechers,Never heard of it,0.01,71.6,-1.0,1,0,5,3,3,3,2,1,2,100,60,46,33,11,0,15,4,4,3,3,2,1,1,80,94,60,32,18,0,0,,80,90,130,140,2,5,4,3,4,3,3,3,Comfort,Durability,HandsFreeConvenience,Work/Office (casual environment),3,Premium Enthusiasts
74,NH,Northeast,18-24,Male,$25k-$49k,Hispanic or Latino,No,Less than $50,In-Store Primarily,Nike,Never heard of it,0.0455,65.4,122.9,0,1,3,3,2,2,1,1,1,44,45,26,34,0,5,0,3,3,3,2,1,1,1,61,58,41,25,2,0,6,4.0,40,100,110,125,1,5,4,4,2,2,4,2,Comfort,Price,Durability,Work/Office (casual environment),4,Traditionalists
75,AR,South,35-44,Female,$100k-$149k,Other,Yes,$150-$199,Online Primarily,Crocs,Vaguely aware of it,0.01,52.7,-1.0,0,1,5,4,4,3,3,2,1,95,85,80,57,52,36,0,5,4,4,4,3,2,2,100,84,91,61,51,23,30,3.0,110,160,195,240,3,4,4,3,3,3,4,4,Comfort,Style,Price,Travel,2,Interested Pragmatists
76,AR,South,55-64,Female,Less than $25k,White,Yes,$50-$99,In-Store Primarily,Skechers,Vaguely aware of it,0.01,137.5,-1.0,0,1,4,3,3,2,2,1,1,70,49,46,34,34,6,0,5,4,4,3,3,2,2,93,87,72,41,39,16,4,5.0,100,135,180,190,1,4,5,4,1,3,4,3,Durability,Fit,Price,Everyday casual wear,3,Traditionalists
77,VA,South,65+,Male,$25k-$49k,Black or African American,Yes,$100-$149,Equal Mix,Crocs,Never heard of it,0.01,118.5,-1.0,0,1,3,2,2,1,1,1,1,44,27,15,1,2,0,0,3,3,2,1,1,1,1,51,37,22,0,1,0,11,3.0,45,55,95,110,3,5,4,3,3,4,4,3,Comfort,Material,Durability,Other,2,Interested Pragmatists
78,MI,Midwest,65+,Male,$25k-$49k,White,Yes,$150-$199,Online Primarily,Crocs,Never heard of it,0.0165,90.9,-1.0,0,1,3,2,2,2,1,1,1,55,28,15,16,12,6,2,4,3,2,2,2,1,1,76,41,38,18,7,0,0,5.0,85,95,110,120,3,4,3,3,1,4,5,3,Price,Comfort,Material,Everyday casual wear,4,Traditionalists
79,ID,West,55-64,Female,$100k-$149k,White,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.0522,132.3,92.2,1,0,5,3,4,2,2,2,1,100,52,62,25,33,6,0,4,4,3,3,2,2,1,93,67,42,48,7,16,0,,50,110,185,195,2,4,4,3,3,3,4,3,Comfort,Price,Durability,Work/Office (casual environment),4,Value Seekers
80,OR,West,65+,Male,$25k-$49k,White,Yes,$200 or more,Equal Mix,Adidas,Never heard of it,0.0139,57.3,-1.0,1,0,3,2,2,1,1,1,1,43,24,0,0,0,0,0,3,3,2,1,1,1,1,48,53,20,4,0,0,0,,40,50,100,110,1,5,4,3,3,3,5,3,Price,Comfort,Durability,Everyday casual wear,3,Value Seekers
81,WI,Midwest,25-34,Male,$50k-$74k,Black or African American,Yes,$200 or more,Equal Mix,Hey Dude,Never heard of it,0.0591,77.1,77.4,0,1,3,3,2,2,1,1,1,57,48,35,18,2,2,0,4,4,3,2,2,2,1,72,79,40,25,20,21,0,4.0,75,85,130,175,2,5,4,3,2,3,4,2,Comfort,Durability,Price,Everyday casual wear,3,Value Seekers
82,MA,Northeast,65+,Female,$75k-$99k,Black or African American,Yes,$100-$149,Equal Mix,Skechers,Vaguely aware of it,0.1434,57.5,18.8,1,0,4,4,3,2,2,1,1,93,64,42,13,29,0,1,3,3,2,2,2,1,1,58,65,26,36,24,0,5,,100,110,140,165,3,3,4,2,3,4,3,3,Material,Durability,Comfort,Specific activity needing convenience,3,Curious Skeptics
83,OK,South,65+,Female,$50k-$74k,Hispanic or Latino,Yes,$50-$99,Online Primarily,Skechers,Never heard of it,0.0628,65.5,124.9,0,1,2,2,1,1,1,1,1,33,28,11,0,0,4,0,3,2,2,1,1,1,1,61,34,20,0,1,0,0,4.0,60,70,90,100,3,4,3,3,5,3,4,5,HandsFreeConvenience,Style,Price,Everyday casual wear,3,Premium Enthusiasts
84,AL,South,45-54,Male,$50k-$74k,Hispanic or Latino,Yes,$200 or more,Online Primarily,Vans,Never heard of it,0.0225,90.1,-1.0,0,1,4,4,4,3,2,2,1,98,74,55,71,21,17,2,5,5,5,4,3,3,1,94,100,94,57,51,46,0,5.0,70,150,160,215,1,3,5,3,1,3,5,2,Price,Durability,Fit,Travel,3,Traditionalists
85,MN,Midwest,55-64,Male,$75k-$99k,Hispanic or Latino,Yes,$150-$199,Online Primarily,None,Somewhat familiar,0.2112,48.0,9.8,0,1,4,2,2,2,1,1,1,66,27,30,5,0,10,0,4,3,3,2,1,1,1,68,64,54,8,0,6,0,4.0,60,100,145,155,3,4,3,3,4,3,4,4,Style,Comfort,HandsFreeConvenience,Specific activity needing convenience,3,Curious Skeptics
86,CA,West,55-64,Female,Less than $25k,White,Yes,$150-$199,Online Primarily,Nike,Never heard of it,0.01,90.8,-1.0,1,0,4,3,3,2,1,1,1,78,54,39,8,0,1,5,3,3,2,1,1,1,1,51,45,32,0,3,8,6,,60,100,115,160,4,3,4,3,3,2,3,3,Brand,Durability,Style,Specific activity needing convenience,2,Curious Skeptics
87,MI,Midwest,25-34,Female,$50k-$74k,White,Yes,$200 or more,Online Primarily,None,Never heard of it,0.01,94.7,-1.0,0,1,4,3,2,1,1,1,1,71,39,26,5,0,0,0,3,3,3,2,1,1,1,54,41,41,13,8,8,0,3.0,80,105,115,125,2,4,5,3,3,3,5,3,Price,Durability,Comfort,Work/Office (casual environment),2,Value Seekers
88,MA,Northeast,18-24,Male,$25k-$49k,White,Yes,$50-$99,Online Primarily,Nike,Vaguely aware of it,0.1362,64.9,29.7,0,1,4,4,3,3,2,2,1,95,70,63,49,11,20,4,5,4,4,3,3,2,2,97,81,79,70,41,18,3,3.0,105,170,180,195,1,4,5,4,1,3,5,3,Price,Durability,Fit,Everyday casual wear,1,Traditionalists
89,WV,South,45-54,Female,Less than $25k,Hispanic or Latino,Yes,Less than $50,Online Primarily,Crocs,Vaguely aware of it,0.0967,101.4,95.3,1,0,2,2,2,1,1,1,1,25,20,0,0,0,0,2,3,2,2,2,1,1,1,41,0,19,0,9,1,0,,70,80,95,105,1,4,4,3,2,3,5,3,Price,Durability,Comfort,Travel,3,Value Seekers
90,OR,West,25-34,Male,$25k-$49k,White,No,Less than $50,Online Primarily,Vans,Never heard of it,0.01,36.9,-1.0,0,1,5,5,4,3,3,2,2,99,100,74,69,45,24,21,5,5,4,4,3,2,2,100,90,95,81,51,34,26,4.0,120,165,255,265,4,5,3,3,4,4,3,5,Comfort,Style,HandsFreeConvenience,Everyday casual wear,4,Premium Enthusiasts
91,FL,South,65+,Male,$100k-$149k,White,Yes,$150-$199,Equal Mix,Nike,Never heard of it,0.01,56.7,-1.0,1,0,4,4,3,2,2,1,1,67,67,45,21,22,0,0,4,4,3,2,2,1,1,76,74,53,32,20,3,0,,70,125,135,185,4,5,4,3,5,3,2,4,Comfort,HandsFreeConvenience,Durability,Everyday casual wear,3,Premium Enthusiasts
92,IL,Midwest,55-64,Male,$50k-$74k,White,Yes,$100-$149,Depends on Type,None,Never heard of it,0.0102,32.7,-1.0,0,1,4,4,3,2,1,1,1,83,62,40,5,0,0,2,4,4,3,3,3,2,1,88,80,50,48,40,5,0,5.0,75,90,150,195,4,5,5,3,4,3,3,3,Comfort,Durability,HandsFreeConvenience,Everyday casual wear,5,Premium Enthusiasts
93,MA,Northeast,45-54,Male,$75k-$99k,White,Yes,$150-$199,In-Store Primarily,None,Somewhat familiar,0.1533,68.7,22.3,0,1,4,4,3,2,2,2,1,97,73,58,28,39,18,1,5,4,4,3,3,2,1,98,97,65,34,44,16,0,4.0,120,130,195,220,2,4,4,2,4,2,3,3,HandsFreeConvenience,Durability,Comfort,Everyday casual wear,4,Interested Pragmatists
94,VA,South,25-34,Female,$50k-$74k,White,Yes,$50-$99,Depends on Type,None,Never heard of it,0.01,80.4,-1.0,0,1,4,4,3,3,2,2,2,84,70,61,37,13,12,3,5,4,3,3,3,2,1,100,82,50,65,58,29,4,4.0,100,125,175,205,2,5,4,2,4,3,4,4,Comfort,Durability,Price,Specific activity needing convenience,4,Interested Pragmatists
95,OR,West,18-24,Female,Less than $25k,Asian,Yes,$50-$99,Online Primarily,Skechers,Never heard of it,0.01,74.5,-1.0,0,1,4,4,3,3,2,2,1,73,66,57,32,9,17,5,4,3,3,3,2,1,1,70,57,53,45,27,5,0,2.0,80,90,135,175,5,5,3,4,5,4,3,4,Comfort,HandsFreeConvenience,Brand,Everyday casual wear,1,Premium Enthusiasts
96,CA,West,55-64,Male,$50k-$74k,White,Yes,$50-$99,Equal Mix,Nike,Never heard of it,0.0154,84.4,-1.0,0,1,4,3,3,2,2,2,1,84,52,36,21,10,1,1,4,4,3,2,2,2,1,90,77,68,31,16,9,0,4.0,110,120,150,190,1,4,4,3,3,3,5,3,Price,Durability,Comfort,Travel,3,Value Seekers
97,LA,South,35-44,Male,Less than $25k,Asian,Yes,$50-$99,Depends on Type,Other,Never heard of it,0.01,90.6,-1.0,0,1,4,4,3,3,2,1,1,84,66,57,42,35,0,0,5,4,4,3,3,2,1,100,91,81,58,60,12,6,3.0,105,115,170,180,1,5,5,3,1,3,4,2,Comfort,Durability,Price,Everyday casual wear,2,Traditionalists
98,CO,West,65+,Female,$150k+,White,Yes,$100-$149,In-Store Primarily,Hey Dude,Somewhat familiar,0.2587,75.2,31.5,0,1,4,4,3,3,1,1,1,78,59,44,35,2,0,4,5,4,3,3,3,2,2,100,85,53,42,36,23,16,4.0,75,120,140,215,2,4,3,3,3,4,4,3,Material,Price,Comfort,Specific activity needing convenience,4,Interested Pragmatists
99,MS,South,18-24,Male,$50k-$74k,White,Yes,$100-$149,Online Primarily,Vans,Never heard of it,0.0132,42.9,-1.0,0,1,3,3,2,2,2,1,1,59,52,33,3,2,3,0,3,3,2,2,1,1,1,62,57,27,25,0,0,2,3.0,70,80,135,145,3,5,3,3,4,3,4,3,Comfort,HandsFreeConvenience,Price,Travel,4,Interested Pragmatists
100,IL,Midwest,45-54,Male,Less than $25k,White,Yes,$150-$199,In-Store Primarily,None,Never heard of it,0.0238,104.5,-1.0,0,1,4,3,2,2,1,1,1,71,47,7,22,0,0,1,4,4,3,3,2,1,1,76,75,55,46,17,0,5,4.0,75,100,130,150,3,5,4,3,5,3,2,4,Comfort,HandsFreeConvenience,Style,Work/Office (casual environment),4,Premium Enthusiasts
101,NC,South,45-54,Female,$25k-$49k,Black or African American,Yes,$100-$149,Depends on Type,Skechers,Never heard of it,0.01,88.8,-1.0,0,1,3,3,2,1,1,1,1,67,33,28,3,6,0,1,4,3,2,2,1,1,1,82,46,7,6,1,0,0,2.0,40,90,115,125,4,3,3,3,2,4,3,3,Material,Brand,Price,Work/Office (casual environment),2,Curious Skeptics
102,HI,West,45-54,Female,$100k-$149k,White,Yes,$100-$149,In-Store Primarily,Crocs,Never heard of it,0.01,110.8,-1.0,1,0,4,3,3,3,2,2,1,92,67,53,34,24,11,4,4,4,2,2,2,1,1,85,75,34,27,28,0,0,,100,115,125,150,3,4,2,4,4,4,5,4,Price,Material,Style,Specific activity needing convenience,4,Interested Pragmatists
103,WV,South,55-64,Female,$50k-$74k,White,No,$100-$149,Online Primarily,Other,Vaguely aware of it,0.0759,79.6,80.1,1,0,3,2,2,1,1,1,1,39,21,20,15,0,0,0,3,3,2,2,1,1,1,51,52,15,8,8,3,0,,45,70,80,115,2,4,4,3,3,2,4,3,Durability,Comfort,Price,Everyday casual wear,4,Interested Pragmatists
104,MD,South,25-34,Female,$25k-$49k,White,Yes,$100-$149,Online Primarily,Nike,Never heard of it,0.0781,70.5,112.8,0,1,4,3,2,2,2,1,1,74,37,34,14,14,2,2,4,3,2,2,2,1,1,63,56,23,27,8,4,2,3.0,65,90,105,175,4,4,3,3,3,4,3,3,Brand,Comfort,Material,Other,3,Curious Skeptics
105,GA,South,25-34,Male,$75k-$99k,White,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.01,49.1,-1.0,0,1,4,4,3,3,2,2,2,94,68,60,37,25,16,9,4,5,4,3,3,2,1,82,99,63,48,40,36,5,2.0,100,165,175,210,3,4,4,3,1,3,4,3,Price,Comfort,Durability,Travel,1,Traditionalists
106,ND,Midwest,25-34,Male,Less than $25k,White,Yes,$100-$149,Online Primarily,Other,Never heard of it,0.0641,60.0,114.5,0,1,4,3,3,2,2,2,1,75,65,49,25,0,14,0,4,3,3,3,2,2,2,82,53,55,31,36,13,21,3.0,70,135,150,180,1,4,4,4,3,3,5,2,Price,Durability,Comfort,Work/Office (casual environment),2,Value Seekers
107,WY,West,18-24,Female,$50k-$74k,Hispanic or Latino,Yes,$200 or more,Online Primarily,Hey Dude,Never heard of it,0.08,86.9,137.3,1,0,4,3,2,2,2,1,1,73,47,37,9,8,8,1,3,2,2,2,2,1,1,63,33,31,25,6,0,4,,100,110,120,130,1,4,4,3,1,3,4,2,Comfort,Price,Durability,Everyday casual wear,1,Traditionalists
108,RI,Northeast,18-24,Female,$25k-$49k,Other,Yes,$100-$149,Depends on Type,Hey Dude,Never heard of it,0.1137,73.5,55.5,1,0,4,4,3,2,2,1,1,90,65,51,22,5,12,0,4,3,3,2,2,1,1,91,49,46,25,17,0,0,,75,105,150,165,1,5,5,3,3,3,5,2,Comfort,Price,Durability,Everyday casual wear,3,Value Seekers
109,MI,Midwest,55-64,Female,$100k-$149k,White,Yes,$200 or more,Equal Mix,Vans,Never heard of it,0.0207,81.4,-1.0,1,0,4,3,3,2,1,1,1,67,62,54,23,0,14,0,3,3,3,2,1,1,1,51,59,45,17,1,0,2,,100,110,120,140,3,5,3,3,4,2,3,4,Comfort,Style,HandsFreeConvenience,Work/Office (casual environment),4,Interested Pragmatists
110,NH,Northeast,55-64,Female,$25k-$49k,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,None,Vaguely aware of it,0.0684,16.7,54.9,1,0,3,3,2,1,1,1,1,35,45,19,0,3,4,0,3,2,2,2,1,1,1,51,24,24,8,0,8,0,,40,120,130,140,1,5,5,3,3,3,5,3,Durability,Comfort,Price,Work/Office (casual environment),4,Value Seekers
111,IA,Midwest,25-34,Male,$25k-$49k,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,Vans,Vaguely aware of it,0.0998,35.9,108.7,0,1,3,3,2,2,1,1,1,61,43,6,12,0,0,0,3,3,2,2,2,1,1,55,51,32,18,2,3,12,3.0,40,90,100,140,3,4,3,3,3,4,4,3,Material,Comfort,Price,Work/Office (casual environment),4,Interested Pragmatists
112,MS,South,18-24,Female,Less than $25k,White,Yes,$100-$149,Online Primarily,Nike,Vaguely aware of it,0.01,53.3,-1.0,0,1,3,3,2,1,1,1,1,69,34,19,4,3,0,4,4,3,2,2,1,1,1,74,37,23,24,0,0,0,4.0,75,90,100,160,4,5,3,3,5,2,2,5,Style,HandsFreeConvenience,Comfort,Specific activity needing convenience,3,Premium Enthusiasts
113,NJ,Northeast,25-34,Male,$50k-$74k,White,Yes,$100-$149,Online Primarily,None,Vaguely aware of it,0.1749,75.4,30.8,1,0,4,3,2,2,2,1,1,65,58,34,7,15,0,0,4,4,3,2,2,1,1,80,68,44,11,9,0,0,,50,120,130,140,2,5,4,4,2,3,4,2,Comfort,Price,Fit,Style/Fashion statement,2,Value Seekers
114,CA,West,65+,Male,$25k-$49k,White,Yes,$100-$149,In-Store Primarily,Other,Never heard of it,0.0123,71.4,-1.0,1,0,3,3,2,1,1,1,1,52,43,24,0,0,0,4,3,3,2,2,1,1,1,49,33,19,1,0,0,0,,45,55,115,125,2,5,4,3,1,2,4,2,Comfort,Durability,Price,Specific activity needing convenience,1,Traditionalists
115,MN,Midwest,18-24,Other/Prefer not to say,$25k-$49k,White,No,$150-$199,In-Store Primarily,Other,Somewhat familiar,0.2406,17.3,45.3,1,0,3,2,2,1,1,1,1,34,27,15,5,0,0,0,3,3,1,1,1,1,1,37,47,0,8,4,0,0,,45,65,100,125,3,3,3,4,3,3,4,3,Price,Fit,Comfort,Everyday casual wear,3,Curious Skeptics
116,IL,Midwest,65+,Female,Less than $25k,Black or African American,Yes,$100-$149,Equal Mix,None,Never heard of it,0.01,73.0,-1.0,1,0,4,3,3,2,1,1,1,68,55,58,23,3,2,0,4,4,2,2,2,1,1,75,73,24,3,22,0,0,,80,90,100,135,4,4,4,3,5,2,3,5,HandsFreeConvenience,Style,Comfort,Travel,4,Premium Enthusiasts
117,IA,Midwest,45-54,Female,$100k-$149k,White,No,$100-$149,Equal Mix,Skechers,Never heard of it,0.0842,12.6,50.0,0,1,4,3,3,2,2,1,1,66,35,40,12,6,1,12,3,4,3,2,2,1,1,63,77,48,10,26,6,2,3.0,65,100,120,130,3,4,3,3,2,3,4,4,Comfort,Price,Style,Everyday casual wear,3,Curious Skeptics
118,OK,South,65+,Female,$150k+,Hispanic or Latino,Yes,$150-$199,Depends on Type,Other,Vaguely aware of it,0.0979,70.5,110.1,0,1,4,3,2,2,2,1,1,68,51,22,22,21,12,5,3,3,3,2,2,2,1,66,56,56,35,17,14,8,3.0,70,105,160,170,4,3,3,3,3,2,4,4,Style,Brand,Price,Everyday casual wear,3,Curious Skeptics
119,OH,Midwest,35-44,Female,$25k-$49k,Hispanic or Latino,Yes,$200 or more,In-Store Primarily,Other,Never heard of it,0.0708,81.6,82.5,0,1,4,3,3,2,1,1,1,79,40,38,34,0,0,4,4,3,3,2,2,2,1,88,57,49,6,8,11,0,3.0,70,115,125,135,3,5,4,2,4,3,2,4,Comfort,Style,Durability,Everyday casual wear,3,Premium Enthusiasts
120,WA,West,55-64,Male,$25k-$49k,Hispanic or Latino,Yes,Less than $50,Equal Mix,Skechers,Never heard of it,0.01,118.0,-1.0,0,1,3,2,2,1,1,1,1,61,18,24,0,1,0,0,2,2,2,1,1,1,1,38,18,12,1,8,0,0,4.0,60,70,80,100,1,4,3,3,3,4,5,2,Price,Comfort,Material,Other,3,Value Seekers
121,DE,South,55-64,Female,$150k+,Hispanic or Latino,Yes,$100-$149,Online Primarily,Nike,Vaguely aware of it,0.0669,79.2,136.3,1,0,4,3,3,2,1,1,1,73,50,43,13,0,0,0,4,3,3,3,2,1,1,75,49,38,31,8,0,0,,75,85,125,140,2,4,3,3,3,2,4,3,Comfort,Price,HandsFreeConvenience,Specific activity needing convenience,3,Interested Pragmatists
122,WA,West,35-44,Female,$150k+,White,Yes,$150-$199,Online Primarily,None,Never heard of it,0.01,122.7,-1.0,1,0,4,4,4,3,3,2,2,84,83,73,45,52,22,0,5,4,3,4,3,3,2,99,86,66,72,43,31,0,,55,130,170,190,2,4,4,3,1,3,5,4,Price,Durability,Comfort,Work/Office (casual environment),3,Traditionalists
123,KS,Midwest,45-54,Female,$75k-$99k,White,Yes,$200 or more,In-Store Primarily,Vans,Very familiar,0.0767,84.0,87.3,1,0,4,3,2,2,1,1,1,81,45,13,9,0,1,5,3,3,3,2,2,1,1,46,46,40,7,6,0,0,,50,85,95,105,3,2,3,3,2,3,5,4,Price,Style,Brand,Work/Office (casual environment),2,Curious Skeptics
124,CA,West,65+,Female,$100k-$149k,White,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.0124,60.6,-1.0,0,1,2,2,2,1,1,1,1,25,26,33,0,0,0,0,3,3,2,1,1,1,1,54,46,11,2,6,0,8,4.0,45,60,70,110,2,4,4,4,3,2,4,3,Durability,Price,Comfort,Everyday casual wear,3,Value Seekers
125,ND,Midwest,55-64,Female,$25k-$49k,White,Yes,$100-$149,Depends on Type,None,Vaguely aware of it,0.0919,138.3,51.3,0,1,3,2,1,1,1,1,1,57,32,8,2,6,0,3,3,3,2,1,1,1,1,52,44,16,3,5,0,0,3.0,40,105,115,145,3,4,5,3,4,2,3,4,Durability,Style,Comfort,Specific activity needing convenience,3,Interested Pragmatists
126,CO,West,35-44,Male,$50k-$74k,Other,Yes,$150-$199,Equal Mix,Skechers,Somewhat familiar,0.2079,30.3,22.7,0,1,4,4,3,2,2,1,1,80,76,53,41,22,0,0,5,4,4,3,3,2,1,97,94,65,54,56,26,8,5.0,125,135,200,210,4,3,4,3,3,3,3,4,Brand,Style,Durability,Travel,5,Curious Skeptics
127,CO,West,45-54,Male,$100k-$149k,White,Yes,$100-$149,In-Store Primarily,None,Somewhat familiar,0.1864,43.3,33.1,1,0,4,3,3,2,1,1,1,61,49,45,14,0,0,2,4,3,3,3,1,1,1,88,55,39,40,1,0,0,,40,80,130,140,2,4,5,4,1,3,4,3,Durability,Comfort,Fit,Everyday casual wear,3,Traditionalists
128,MA,Northeast,18-24,Male,Less than $25k,Black or African American,Yes,$150-$199,Online Primarily,Skechers,Somewhat familiar,0.1469,117.1,27.5,0,1,3,3,2,2,1,1,1,51,43,29,18,13,0,0,4,3,2,2,2,1,1,63,68,36,9,18,0,0,5.0,90,115,130,170,4,4,3,3,2,3,3,3,Comfort,Brand,Fit,Everyday casual wear,4,Curious Skeptics
129,NV,West,25-34,Male,$75k-$99k,Hispanic or Latino,Yes,$200 or more,Online Primarily,Skechers,Never heard of it,0.0583,95.3,64.0,0,1,4,3,3,2,1,1,1,76,46,39,20,1,5,0,5,4,3,3,2,2,1,90,71,48,42,27,7,1,4.0,105,115,170,205,3,4,4,2,4,3,3,3,Durability,Comfort,HandsFreeConvenience,Everyday casual wear,4,Interested Pragmatists
130,SC,South,25-34,Male,Less than $25k,White,Yes,$100-$149,Online Primarily,Nike,Never heard of it,0.01,87.1,-1.0,1,0,3,3,2,1,1,1,1,51,45,18,0,9,0,3,3,3,2,1,1,1,1,47,30,27,0,0,0,2,,40,75,90,100,4,5,3,3,5,3,2,4,HandsFreeConvenience,Comfort,Style,Everyday casual wear,3,Premium Enthusiasts
131,NH,Northeast,45-54,Female,Less than $25k,White,Yes,$100-$149,Equal Mix,Hey Dude,Vaguely aware of it,0.0934,88.3,111.5,1,0,4,3,3,2,1,1,1,79,33,25,5,0,0,11,3,3,3,2,1,1,1,66,50,33,30,0,0,0,,65,115,145,155,2,4,5,3,2,3,4,3,Durability,Price,Comfort,Everyday casual wear,3,Value Seekers
132,LA,South,35-44,Female,Less than $25k,White,Yes,$50-$99,Online Primarily,None,Never heard of it,0.01,91.6,-1.0,1,0,3,3,2,1,1,1,1,58,33,23,6,0,2,0,3,3,2,2,1,1,1,49,65,10,14,0,3,1,,50,75,105,140,2,5,3,3,3,3,4,4,Comfort,Price,Style,Everyday casual wear,4,Interested Pragmatists
133,SC,South,35-44,Female,$50k-$74k,White,Yes,$150-$199,In-Store Primarily,Nike,Never heard of it,0.01,54.8,-1.0,0,1,4,3,2,2,1,1,1,75,58,26,34,0,4,0,4,3,3,3,2,2,1,72,61,43,36,24,11,0,4.0,100,110,155,190,4,4,3,3,2,3,4,5,Style,Brand,Comfort,Other,4,Curious Skeptics
134,KS,Midwest,35-44,Male,$100k-$149k,White,Yes,$100-$149,Depends on Type,None,Somewhat familiar,0.0864,55.5,72.8,0,1,4,3,3,3,2,1,1,83,56,45,34,15,0,0,4,4,4,3,2,1,2,94,62,64,42,12,9,7,4.0,100,120,165,175,3,4,3,3,4,3,2,5,Style,HandsFreeConvenience,Comfort,Style/Fashion statement,4,Premium Enthusiasts
135,NE,Midwest,45-54,Male,$25k-$49k,White,Yes,$100-$149,Online Primarily,Nike,Somewhat familiar,0.0928,40.1,108.6,0,1,3,2,2,2,1,1,1,61,36,23,23,0,0,4,3,3,3,2,1,1,1,52,48,30,30,1,7,0,3.0,55,85,125,135,2,4,4,3,3,3,4,4,Style,Price,Durability,Travel,2,Interested Pragmatists
136,MN,Midwest,25-34,Female,$50k-$74k,Hispanic or Latino,Yes,$200 or more,Online Primarily,Crocs,Vaguely aware of it,0.2224,71.6,37.0,1,0,3,2,2,1,1,1,1,40,8,9,9,0,7,0,3,2,2,1,1,1,1,34,22,23,0,0,5,3,,40,75,85,130,3,4,3,2,4,3,2,4,Comfort,HandsFreeConvenience,Style,Everyday casual wear,5,Premium Enthusiasts
137,WY,West,45-54,Female,$25k-$49k,Other,Yes,$50-$99,Equal Mix,None,Never heard of it,0.039,94.8,79.5,0,1,4,3,3,2,2,1,1,76,44,40,15,22,0,2,5,3,3,3,2,2,1,91,54,52,51,24,10,1,5.0,95,105,175,185,4,3,4,2,3,2,5,4,Price,Style,Brand,Everyday casual wear,5,Curious Skeptics
138,CT,Northeast,35-44,Female,$25k-$49k,White,Yes,$50-$99,Equal Mix,Skechers,Never heard of it,0.0576,81.5,57.5,0,1,4,3,3,3,2,1,1,75,66,41,38,16,7,0,4,4,4,3,2,2,1,56,76,75,40,23,4,0,3.0,80,105,150,210,2,4,5,2,2,3,5,3,Durability,Price,Comfort,Other,2,Value Seekers
